ID	Title	Body
1	Chant Aum	Take a deep breath and chant Aum nine times. The first syllable is A, pronounced as the English word “awe,” but prolonged: “aaa.” The second syllable is U, as in “roof,” pronounced “oo,” but prolonged: “ooo.” The third syllable is M, pronounced “mm” with the front teeth gently touching and the sound prolonged: “mmmm.” Each repetition is sounded for about seven seconds, with two seconds on A, two seconds on U and three seconds on M, with a silence of about two seconds before the next repetition. The three syllables are run together: AAUUMM (silence), AAUUMM (silence), AAUUMM (silence). On the first syllable, A, we feel the solar plexus and chest vibrating. On the second syllable, U, the throat vibrates. The third syllable, M, vibrates the top of the head.  
2	Practice Manifiests Perfection	"Practice makes perfect" applied to efforts in our spiritual life takes on a different meaning. Our inner essence, our soul nature, is already perfect. Our practice, or self effort, is to bring that inner perfection into our outer intellectual, emotional and instinctive nature. Thus we could modify the adage to be "practice manifests perfection." Satguru Bodhinatha Veylanswami
3	Affirmation: Master of My Mind, Body and Emotions	Repeat 3 times: "I am the complete master of my mind, body and emotions." As you say these words, visualize that you are the master of your mind, master of your body and master of your emotions.
4	Wonder and Ponder: Totally Detatched	As you wander through nature, be detached from body, mind and emotions. When you find yourself saying, I am hungry or I am thirsty, rephrase and say my body is hungry or thirsty. When you find yourself thinking I understand or don't understand, rephrase...my intellect understands or doesn’t understand. When you claim an emotional identity, I am certainly happy this morning, or I am a bit depressed this morning... again rephrase my emotions are happy or a bit depressed.
5	Daily Challange: Mistreatment by Others	When life provides us the experience in which we are mistreated by others, rather than retaliate or hold resentment, forgive and respond with kindness.  
7	Daily Challange: Difficult Projects	When faced with tasks that stretch our abilities, we can do the minimal just to get by or be inspired to do our best by looking at them as opportunities to improve our concentration, willpower and steadfastness, all of which will enhance our meditation abilities and inner striving.
11	Lift Burdens Through Your Own Light	"Go out into the world this week and let your light shine through your kind thoughts, but let each thought manifest itself in a physical deed of doing something for someone else. Lift their burdens just a little bit and, unknowingly perhaps, you may lift something that is burdening your mind. We call this karma yoga." Satguru Sivaya Subramuniyaswami
12	Mistreatment by Others	Mistreatment by Others is a common challenge we face in life that provides us with good opportunities for spiritual progress, if we respond in a wise manner with self-control. Life provides us a steady stream of experiences in which we are mistreated by others. Rather than retaliate or hold resentment, we can forgive and respond with kindness.
13	Our Own Mistakes	Reacting to our own mistakes is a common challenge we face in life that provides us with good opportunities for spiritual progress, only if we respond in a wise manner with self-control. When we make a major error, we have a choice to wallow in self-doubt and self-deprecation or to figure out how to not repeat the mistake.
14	Difficult Projects	When faced with tasks that stretch our abilities, we can do the minimal just to get by or be inspired to do our best by looking at them as opportunities to improve our concentration, willpower and steadfastness, all of which will enhance our meditation abilities and inner striving.
15	Disturbed Emotions	When we get upset by life's experiences, we have a choice to suffer the emotional upheaval or to strive to pull ourselves out of it as quickly as possible. This is a common challenge we face in life that provides us with good opportunities for spiritual progress, only if we respond in a wise manner with self-control.
18	Let Your Light Shine	"Go out into the world today and let your light shine through your kind thoughts, but let each thought manifest itself in a physical deed of doing something for someone else. Lift their burdens just a little bit and, unknowingly perhaps, you may lift something that is burdening your mind. Through service and kindness, you can unwind the subconscious mind and gain a clear understanding of all laws of life. Your soul will shine forth. You will be that peace. You will radiate that inner happiness and be truly secure, simply by practicing being kind in thought, word and deed." Gurudeva, Living with Siva
19	Seeing God in Those We Greet	When greeting someone today, strive to look deeply enough into them to see God, to see them as a divine being evolving through experience into oneness with God. Our attitude is then naturally helpful and benevolent. Having a great day also includes making spiritual progress. 
20	Volunteering	Take one opportunity today and offer to help beyond what is required of us. An attitude of humble service diminishes the ego and strengthens our spiritual identity. Hold the attitude of being willing to help when called upon, to not resist or refuse. Having a great day also includes making spiritual progress. 
21	Expressing Appreciation	Find one opportunity today to uplift and encourage others by sincerely expressing how grateful we are for their help, friendship and importance in our life. Having a great day also includes making spiritual progress. 
22	Helping Newcomers	In our modern world, people move around a great deal. Thus there is a steady flow of newcomers at work, at school, in our neighborhood and at our temple. Step forward today to welcome and help orient one person into their new environment. This is an excellent way to be of service. Having a great day also includes making spiritual progress. 
23	Offering Hospitality	Find a creative way today to be hospitable in the home, at school and even at work. Offer someone some tea, coffee, water, something to eat, or even just a comfortable place to sit. Having a great day also includes making spiritual progress. 
